DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010709,82.61,82.90,81.25,81.92,2554500,0
20010710,82.25,82.85,81.14,81.60,2300100,0
20010711,81.25,81.85,80.00,81.31,2853400,0
20010712,83.50,86.69,83.10,86.55,3143200,0
20010713,86.00,88.00,85.62,86.15,1878700,0
20010716,85.90,87.13,82.00,83.50,3583400,0
20010717,82.90,86.47,81.65,85.85,2597000,0
20010718,83.85,85.00,82.30,84.00,5174000,0
20010719,85.00,85.50,81.65,82.78,2468600,0
20010720,82.85,83.80,82.05,83.00,2167500,0
20010723,83.75,84.90,81.59,81.74,2993700,0
20010724,81.25,82.54,80.80,81.85,3391900,0
20010725,81.95,83.20,81.20,83.20,1861000,0
20010726,82.79,85.00,81.80,84.64,7378500,0
20010727,84.50,86.04,83.60,84.90,7591000,0
20010730,84.55,84.75,82.11,82.69,2065300,0
20010731,82.46,84.90,82.10,83.16,2293100,0
20010801,83.50,85.90,83.40,85.35,2845800,0
20010802,85.95,87.50,85.95,86.30,1874000,0
20010803,86.10,86.50,84.85,85.50,2267400,0
20010806,84.90,85.00,83.70,83.96,1180800,0
20010807,83.68,84.18,82.77,83.54,1723600,0
20010808,82.90,83.95,81.80,81.80,3575400,0
20010809,80.60,80.76,78.95,80.05,5903000,0
20010810,79.81,80.80,78.55,80.80,2537800,0
20010813,80.00,82.59,80.00,82.20,2363600,0
20010814,82.50,83.40,81.30,81.30,3187100,0
20010815,81.49,82.17,80.82,81.85,5172500,0
20010816,81.85,81.85,79.96,81.10,9314100,0
20010817,80.05,80.12,77.05,77.45,6765500,0
20010820,77.26,78.05,77.26,77.84,2535500,0
20010821,77.83,79.69,75.40,75.40,3765300,0
20010822,75.50,77.50,75.09,77.50,4955600,0
20010823,77.70,77.98,76.80,77.70,2981900,0
20010824,78.00,81.50,77.90,81.30,11612800,0
20010827,81.30,82.80,80.55,81.90,2326300,0
20010828,81.90,82.01,80.51,81.00,3462800,0
20010829,81.05,81.55,79.80,80.69,2569400,0
20010830,80.06,80.30,78.50,79.61,3147400,0
20010831,79.95,81.30,79.02,80.10,2008900,0
20010903,80.10,80.10,80.10,80.10,0,0
20010904,79.95,81.45,79.26,79.62,12218300,0
20010905,80.65,81.40,78.10,78.55,3356500,0
20010906,78.00,78.80,76.65,77.10,2866300,0
20010907,76.49,77.40,74.00,74.48,3619700,0
20010910,74.45,76.76,73.60,76.20,2330400,0
20010911,76.20,76.20,76.20,76.20,0,0
20010917,72.30,72.31,68.59,69.40,5743900,0
20010918,69.98,69.98,66.28,67.50,3562400,0
20010919,67.81,68.50,63.27,67.40,5806000,0
20010920,65.75,67.20,64.10,65.75,3919700,0
20010921,64.80,68.25,63.29,67.69,5407100,0
20010924,69.75,71.49,69.59,70.51,3058100,0
20010925,70.50,72.23,69.60,70.03,3622400,0
20010926,72.00,72.00,69.85,69.85,4751900,0
20010927,69.85,69.85,66.93,68.90,4741000,0
20010928,69.58,72.90,69.55,71.35,3232600,0
20011001,71.36,74.50,71.00,73.50,3588300,0
20011002,73.55,74.30,72.43,73.60,3020700,0
20011003,73.29,76.95,72.89,76.69,3489200,0
20011004,76.70,80.00,76.33,79.00,6184900,0
20011005,78.75,78.90,75.89,76.25,5436900,0
20011008,76.26,76.60,74.36,75.30,30040900,0
20011009,75.50,78.15,75.00,77.93,2754100,0
20011010,77.93,81.20,77.30,80.71,3800700,0
20011011,82.00,85.35,82.00,83.85,6403200,0
20011012,83.00,83.66,80.75,82.80,3570200,0
20011015,82.21,85.09,81.52,84.35,3357300,0
20011016,84.60,86.21,83.60,84.25,3278300,0
20011017,85.60,86.04,82.07,82.07,3945900,0
20011018,82.30,83.40,80.81,81.41,3063300,0
20011019,81.06,81.06,79.15,79.73,3808200,0
20011022,79.75,81.94,79.51,81.60,4275400,0
20011023,81.61,83.00,81.40,81.90,2330100,0
20011024,81.61,81.85,80.15,80.50,13352900,0
20011025,79.70,81.50,78.65,81.40,36700000,0
20011026,81.15,83.25,81.13,83.12,2732900,0
20011029,83.12,83.12,80.85,80.85,2220800,0
20011030,80.20,81.35,79.10,80.05,2433700,0
20011031,81.15,81.50,78.00,78.16,2967700,0
20011101,78.50,80.80,77.32,80.70,3157300,0
20011102,80.50,82.45,80.30,82.25,2710400,0
20011105,83.75,85.40,83.33,84.71,3098600,0
20011106,84.40,86.60,84.01,86.50,3426000,0
20011107,86.00,87.66,85.55,87.50,3209800,0
20011108,87.70,88.80,86.58,86.70,2928500,0
20011109,86.30,87.75,85.41,86.86,1342800,0
