Date,Open,High,Low,Close,Adj Close,Volume
2012-01-03,58.485714,58.928570,58.428570,58.747143,39.022491,75555200
2012-01-04,58.571430,59.240002,58.468571,59.062859,39.232208,65005500
2012-01-05,59.278572,59.792858,58.952858,59.718571,39.667763,67817400
2012-01-06,59.967144,60.392857,59.888573,60.342857,40.082447,79573200
2012-01-09,60.785713,61.107143,60.192856,60.247143,40.018867,98506100
2012-01-10,60.844284,60.857143,60.214287,60.462856,40.162155,64549100
2012-01-11,60.382858,60.407143,59.901428,60.364285,40.096684,53771200
2012-01-12,60.325714,60.414288,59.821430,60.198570,39.986607,53146800
2012-01-13,59.957142,60.064285,59.808571,59.972858,39.836678,56505400
2012-01-17,60.599998,60.855713,60.422855,60.671429,40.300697,60724300
2012-01-18,60.994286,61.352856,60.900002,61.301430,40.719177,69197800
2012-01-19,61.450001,61.624287,60.930000,61.107143,40.590115,65434600
2012-01-20,61.070000,61.071430,59.964287,60.042858,39.883186,103493600
2012-01-23,60.381428,61.207142,60.328571,61.058571,40.557846,76515600
2012-01-24,60.728573,60.728573,59.935715,60.058571,39.893620,136909500
2012-01-25,64.919998,64.921425,63.389999,63.808571,42.384529,239578500
2012-01-26,64.051430,64.112854,63.305714,63.518570,42.191898,80996300
2012-01-27,63.477142,64.068573,63.395714,63.897144,42.443356,74927300
2012-01-30,63.672855,64.842857,63.627144,64.715714,42.987083,94835300
2012-01-31,65.084282,65.462860,64.724289,65.211426,43.316364,97920900
2012-02-01,65.487144,65.570000,65.078575,65.169998,43.288845,67511500
2012-02-02,65.128571,65.309998,64.854286,65.017143,43.187305,46699100
2012-02-03,65.328575,65.714287,65.080002,65.668571,43.620014,71649900
2012-02-06,65.482857,66.425713,65.457146,66.281425,44.027103,62353200
2012-02-07,66.464287,67.107140,66.368568,66.975716,44.488297,79055900
2012-02-08,67.214287,68.112854,67.099998,68.097145,45.233189,101972500
2012-02-09,68.680000,70.964287,68.651428,70.452858,46.797970,221053700
2012-02-10,70.137146,71.088570,69.792854,70.488571,46.821686,157825500
2012-02-13,71.361427,71.975716,71.012856,71.800003,47.692802,129304000
2012-02-14,72.094284,72.794289,71.714287,72.779999,48.343750,115099600
2012-02-15,73.465714,75.184288,70.984283,71.095711,47.224960,376530000
2012-02-16,70.214287,72.127144,69.518570,71.744286,47.655788,236138000
2012-02-17,71.872856,72.538574,71.471428,71.731430,47.647251,133951300
2012-02-21,72.411430,73.550003,72.017143,73.550003,48.855221,151398800
2012-02-22,73.297142,73.641426,72.724289,73.291428,48.683464,120825600
2012-02-23,73.582855,73.975716,72.785713,73.769997,49.001358,142006900
2012-02-24,74.238571,74.699997,74.091431,74.629997,49.572617,103768000
2012-02-27,74.472855,75.500000,73.754288,75.108574,49.890514,136895500
2012-02-28,75.422859,76.487144,75.121429,76.487144,50.806213,150096800
2012-02-29,77.365715,78.230003,76.528572,77.491432,51.473301,238002800
2012-03-01,78.309998,78.315712,76.967140,77.781425,51.665928,170817500
2012-03-02,77.748573,78.114288,77.502853,77.882858,51.733292,107928100
